,town,number_of_schools,lon,lat
1354,"NY,Middletown",2,-74.427037,41.431625
1355,"NY,Paul Smiths",1,-74.252675,44.433965
1356,"NY,West Seneca",2,-78.770502,42.8399915
1357,"NY,Johnson City",1,-75.967044,42.10601
1358,"NY,Long Beach",1,-73.670238,40.586427
1359,"NY,Richmond Hill",2,-73.836262,40.70069
1360,"NY,Suffern",2,-74.088064,41.1287745
1361,"NY,Saint Bonaventure",1,-78.481107,42.080191
1362,"NY,Brooklyn Heights",1,-73.992164,40.693228000000005
1363,"NY,Canton",2,-75.1721245,44.5969875
1364,"NY,Sparkill",1,-73.936799,41.041576
1365,"NY,Lawrence",1,-73.740085,40.605227
1366,"NY,Loudonville",1,-73.7526,42.717602
1367,"NY,Saratoga Springs",2,-73.7839095,43.087159
1368,"NY,Patchogue",1,-73.024661,40.775933
1369,"NY,Bohemia",1,-73.093869,40.777825
1370,"NY,Loch Sheldrake",1,-74.66776899999999,41.7641
1371,"NY,Delhi",1,-74.924612,42.269859000000004
1372,"NY,Cobleskill",1,-74.49825799999999,42.672534000000006
1373,"NY,Farmingdale",1,-73.42832,40.754224
1374,"NY,Morrisville",1,-75.64058299999999,42.893962
1375,"NY,Stony Brook",1,-73.12046,40.91476
1376,"NY,Brockport",1,-77.947188,43.211926
1377,"NY,Cortland",1,-76.18865500000001,42.598022
1378,"NY,Fredonia",1,-79.337375,42.452236
1379,"NY,Geneseo",1,-77.821894,42.796645
1380,"NY,New Paltz",1,-74.082188,41.740936
1381,"NY,Oswego",1,-76.540798,43.454287
1382,"NY,Throggs Neck",1,-73.795309,40.807217
1383,"NY,Dryden",1,-76.287586,42.502006
1384,"NY,Stone Ridge",1,-74.128698,41.851217999999996
1385,"NY,Kings Point",1,-73.76300400000001,40.81357
1386,"NY,West  Point",1,-73.956603,41.390479
1387,"NY,Glen Cove",1,-73.644909,40.884444
1388,"NY,Aurora",1,-76.696028,42.742943
1389,"NY,Pottersville",1,-73.812057,43.730713
1390,"NY,Mount Kisco",1,-73.748104,41.232287
1391,"NY,Kew Gardens",1,-73.834252,40.703795
1392,"NY,South Fallsburg",1,-74.62182299999999,41.73048
1393,"NC,Elizabeth City",3,-76.21698166666667,36.302512
1394,"NC,Polkton",1,-80.211087,35.000312
1395,"NC,Boone",1,-81.680583,36.215536
1396,"NC,Asheville",5,-82.5681718,35.5944852
1397,"NC,Wilson",3,-77.92101000000001,35.72759633333333
1398,"NC,Washington",1,-76.96535,35.533587
1399,"NC,Belmont",1,-81.041315,35.260651
1400,"NC,Greensboro",12,-79.84279766666667,36.06865225
1401,"NC,Dublin",1,-78.73111899999999,34.644690999999995
1402,"NC,Flat Rock",1,-82.42554399999999,35.308040000000005
1403,"NC,Brevard",1,-82.72949399999999,35.236763
1404,"NC,Bolivia",1,-78.22979000000001,34.038973
1405,"NC,Concord",3,-80.67427500000001,35.39194766666666
1406,"NC,Hudson",1,-81.484148,35.854603999999995
1407,"NC,Buies Creek",1,-78.738238,35.409149
1408,"NC,Wilmington",4,-77.90307575,34.230642
1409,"NC,Charlotte",20,-80.85106415,35.199064
1410,"NC,Morehead City",1,-76.755538,34.723681
1411,"NC,Salisbury",4,-80.48229,35.661577750000006
1412,"NC,Hickory",2,-81.307759,35.719849999999994
1413,"NC,Sanford",1,-79.143553,35.471864000000004
